Category,category_id,Subcategory,subcateogory_id,amount,year
議会費,1,議会費,101,492502000,2011
総務費,2,総務管理費,201,6202280000,2011
総務費,2,徴税費,202,732521000,2011
総務費,2,戸籍住民基本台帳費,203,636705000,2011
総務費,2,選挙費,204,28305000,2011
総務費,2,統計調査費,205,23781000,2011
総務費,2,監査委員費,206,60633000,2011
民生費,3,社会福祉費,301,5307879000,2011
民生費,3,老人福祉費,302,3690237000,2011
民生費,3,児童福祉費,303,11464876000,2011
民生費,3,生活保護費,304,1738552000,2011
民生費,3,災害救助費,305,136914000,2011
衛生費内訳,4,保健衛生費,401,2274014000,2011
衛生費内訳,4,結核対策費,402,192666000,2011
衛生費内訳,4,清掃費,403,2145236000,2011
労働費,5,労働諸費,501,255613000,2011
農林水産業費,6,農業費,601,680457000,2011
農林水産業費,6,畜産業費,602,1192000,2011
農林水産業費,6,農地費,603,1243469000,2011
農林水産業費,6,林業費,604,81466000,2011
商工費,7,商工費,701,729910000,2011
土木費,8,土木管理費,801,344185000,2011
土木費,8,道路橋りょう費,802,1315399000,2011
土木費,8,河川費,803,45706000,2011
土木費,8,都市計画費,804,4700646000,2011
土木費,8,住宅費,805,206300000,2011
消防費,9,消防費,901,3136035000,2011
教育費,10,教育総務費,1001,856854000,2011
教育費,10,小学校費,1002,3132710000,2011
教育費,10,中学校費,1003,2196291000,2011
教育費,10,幼稚園費,1004,948108000,2011
教育費,10,社会教育費,1005,886494000,2011
教育費,10,保健体育費,1006,2057598000,2011
災害復旧費,11,農林水産施設,1101,81859000,2011
災害復旧費,11,公共土木施設,1102,316663000,2011
災害復旧費,11,その他,1103,316325000,2011
公債費,12,公債費,1201,6480917000,2011
